"session","session_id","study_id","iteration","created","modified","ended","expired","id_entrevistado","sex_nino","edad_nino","pais_nino","nombre_P01","sex_P01","edad_P01","educ_P01","pais_P01","region_P01","comuna_P01_1","comuna_P01_2","comuna_P01_3","comuna_P01_4","comuna_P01_5","comuna_P01_6","comuna_P01_7","comuna_P01_8","comuna_P01_9","comuna_P01_10","comuna_P01_11","comuna_P01_12","comuna_P01_13","comuna_P01_14","comuna_P01_15","comuna_P01_16","vinculo_P01","vinculo_P01_esp","anio_P01","cuidado_P01","cuidado_P01_esp","frecuencia_P01","horas_P01","count_SN1","nombre_P02","sex_P02","edad_P02","educ_P02","pais_P02","region_P02","comuna_P02_1","comuna_P02_2","comuna_P02_3","comuna_P02_4","comuna_P02_5","comuna_P02_6","comuna_P02_7","comuna_P02_8","comuna_P02_9","comuna_P02_10","comuna_P02_11","comuna_P02_12","comuna_P02_13","comuna_P02_14","comuna_P02_15","comuna_P02_16","vinculo_P02","vinculo_P02_esp","anio_P02","cuidado_P02","cuidado_P02_esp","frecuencia_P02","horas_P02","count_SN2","nombre_P03","sex_P03","edad_P03","educ_P03","pais_P03","region_P03","comuna_P03_1","comuna_P03_2","comuna_P03_3","comuna_P03_4","comuna_P03_5","comuna_P03_6","comuna_P03_7","comuna_P03_8","comuna_P03_9","comuna_P03_10","comuna_P03_11","comuna_P03_12","comuna_P03_13","comuna_P03_14","comuna_P03_15","comuna_P03_16","vinculo_P03","vinculo_P03_esp","anio_P03","cuidado_P03","cuidado_P03_esp","frecuencia_P03","horas_P03","count_SN3","nombre_P04","sex_P04","edad_P04","educ_P04","pais_P04","region_P04","comuna_P04_1","comuna_P04_2","comuna_P04_3","comuna_P04_4","comuna_P04_5","comuna_P04_6","comuna_P04_7","comuna_P04_8","comuna_P04_9","comuna_P04_10","comuna_P04_11","comuna_P04_12","comuna_P04_13","comuna_P04_14","comuna_P04_15","comuna_P04_16","vinculo_P04","vinculo_P04_esp","anio_P04","cuidado_P04","cuidado_P04_esp","frecuencia_P04","horas_P04","count_SN4","nombre_P05","sex_P05","edad_P05","educ_P05","pais_P05","region_P05","comuna_P05_1","comuna_P05_2","comuna_P05_3","comuna_P05_4","comuna_P05_5","comuna_P05_6","comuna_P05_7","comuna_P05_8","comuna_P05_9","comuna_P05_10","comuna_P05_11","comuna_P05_12","comuna_P05_13","comuna_P05_14","comuna_P05_15","comuna_P05_16","vinculo_P05","vinculo_P05_esp","anio_P05","cuidado_P05","cuidado_P05_esp","frecuencia_P05","horas_P05","count_SN5","nombre_P06","sex_P06","edad_P06","educ_P06","pais_P06","region_P06","comuna_P06_1","comuna_P06_2","comuna_P06_3","comuna_P06_4","comuna_P06_5","comuna_P06_6","comuna_P06_7","comuna_P06_8","comuna_P06_9","comuna_P06_10","comuna_P06_11","comuna_P06_12","comuna_P06_13","comuna_P06_14","comuna_P06_15","comuna_P06_16","vinculo_P06","vinculo_P06_esp","anio_P06","cuidado_P06","cuidado_P06_esp","frecuencia_P06","horas_P06","count_SN6","nombre_P07","sex_P07","edad_P07","educ_P07","pais_P07","region_P07","comuna_P07_1","comuna_P07_2","comuna_P07_3","comuna_P07_4","comuna_P07_5","comuna_P07_6","comuna_P07_7","comuna_P07_8","comuna_P07_9","comuna_P07_10","comuna_P07_11","comuna_P07_12","comuna_P07_13","comuna_P07_14","comuna_P07_15","comuna_P07_16","vinculo_P07","vinculo_P07_esp","anio_P07","cuidado_P07","cuidado_P07_esp","frecuencia_P07","horas_P07","count_SN7","nombre_P08","sex_P08","edad_P08","educ_P08","pais_P08","region_P08","comuna_P08_1","comuna_P08_2","comuna_P08_3","comuna_P08_4","comuna_P08_5","comuna_P08_6","comuna_P08_7","comuna_P08_8","comuna_P08_9","comuna_P08_10","comuna_P08_11","comuna_P08_12","comuna_P08_13","comuna_P08_14","comuna_P08_15","comuna_P08_16","vinculo_P08","vinculo_P08_esp","anio_P08","cuidado_P08","cuidado_P08_esp","frecuencia_P08","horas_P08","count_SN8","nombre_P09","sex_P09","edad_P09","educ_P09","pais_P09","region_P09","comuna_P09_1","comuna_P09_2","comuna_P09_3","comuna_P09_4","comuna_P09_5","comuna_P09_6","comuna_P09_7","comuna_P09_8","comuna_P09_9","comuna_P09_10","comuna_P09_11","comuna_P09_12","comuna_P09_13","comuna_P09_14","comuna_P09_15","comuna_P09_16","vinculo_P09","vinculo_P09_esp","anio_P09","cuidado_P09","cuidado_P09_esp","frecuencia_P09","horas_P09","count_SN9","nombre_P10","sex_P10","edad_P10","educ_P10","pais_P10","region_P10","comuna_P10_1","comuna_P10_2","comuna_P10_3","comuna_P10_4","comuna_P10_5","comuna_P10_6","comuna_P10_7","comuna_P10_8","comuna_P10_9","comuna_P10_10","comuna_P10_11","comuna_P10_12","comuna_P10_13","comuna_P10_14","comuna_P10_15","comuna_P10_16","vinculo_P10","vinculo_P10_esp","anio_P10","cuidado_P10","cuidado_P10_esp","frecuencia_P10","horas_P10","fecha_aplicacion"
"wJuv2xQaDLVeacBG6Bctn8wxjhI53-wL8lz3PSCqpBQHlCZfrsNNQqk-DAPqDsNB","41224440","157885","11","2026-03-08 00:43:31","2026-03-09 00:09:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bgPXZ7kFiuCHaCdPLFDRAX01J7PDm4DX0PqTQ8bfsVcimpOZJiqIR-3d2EIvYrsA","41230271","157885","12","2026-03-09 04:06:53","2026-03-09 04:07:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nYDL6VYhUbZPGY6QMyk-NrzaEZS2FzmgEHtnBsOt4tt2zqseTodwmSFqn_zxzI_Z","41233167","157885","13","2026-03-09 20:47:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2idNziCFBpZkPDCJFqEvvMxuuFTM-B7V4LpDZ7wuFAY1SH-v3kyW3sg__juC1Tp","41233168","157885","14","2026-03-09 20:47:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MlOPkgtBtBVG6s3QWSMbrKKxDl3Qe9yLiX_R89sce_0ZedGpSGN1l7UupBeCHL5","41239666","157885","15","2026-03-11 14:19:19","2026-03-11 14:32:52","2026-03-11 14:32:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t08P0k-tD3fgZvqE52GYoIYPCiZZNgDtTp-AOA3NFtYj6W7XCPSxnySNd9PGpLcA","41248054","157885","16","2026-03-13 18:41:37","2026-03-13 19:43:31","2026-03-13 19:43:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jOgzMLrsndU6Ka1t14jNXVVTIug0SaYLM4w6O1t4MBacNwuweA1rRgPd-qhBS4wi","41248345","157885","17","2026-03-13 19:52:49","2026-03-13 20:10:36","2026-03-13 20:10:38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vI7d2Vu-YwUieVrRakXTTYaDfZ_i3ch6lxuyIwR1mGAGHIbmCq5lGq8eZilvlCOX","41248419","157885","18","2026-03-13 20:06:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nrzOHRngPK8QjPv-sKKh-P1pa-YDftR4o-veSc1qnVBx83kYuEh0WNVhhfXIOhyt","41249042","157885","19","2026-03-13 23:37:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Izb1uxjDVbTaCf4IfHCjJ-bMO_ifYB8DsvI-DZYtfn2NhWAAKYGYDIcAQVIq13KW","41275946","157885","20","2026-03-20 19:56:38","2026-03-20 19:58:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41358978","157885","21","2026-04-09 07:38:47","2026-04-09 07:46:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oxJkoFxyGj2FzlcHFbpsTqOdFHXcrDpieOLLmJ8bOwGhquPN7ZqEIpO_a5VIkqar","41363786","157885","22","2026-04-10 06:33:48","2026-04-10 06:36:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
